,goal_reached,path_length,times_disturbed,is_alternative,safety_value,allowance,safety_list,graph_reference
0,False,59,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
1,False,61,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
2,False,11,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
3,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
4,False,9,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
5,False,11,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
6,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
7,True,69,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
8,True,79,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
9,False,30,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
10,False,11,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
11,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
12,False,17,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
13,False,9,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
14,True,73,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
15,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
16,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
17,False,63,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
18,False,9,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
19,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
20,False,58,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
21,True,67,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
22,True,69,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
23,False,9,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
24,False,67,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
25,False,13,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
26,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
27,False,61,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
28,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
29,False,9,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
30,False,75,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
31,True,75,8,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
32,True,73,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
33,False,26,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
34,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
35,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
36,False,9,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
37,False,26,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
38,False,68,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
39,True,71,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
40,False,15,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
41,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
42,True,71,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
43,False,36,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
44,True,69,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
45,False,11,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
46,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
47,False,30,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
48,False,9,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
49,False,11,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
50,False,26,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
51,False,26,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
52,True,75,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
53,False,9,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
54,False,9,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
55,False,9,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
56,True,73,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
57,True,75,8,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
58,False,9,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
59,False,9,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
60,False,32,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
61,False,60,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
62,True,75,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
63,False,15,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
64,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
65,False,63,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
66,False,13,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
67,True,75,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",17_13_37_52
