,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,False,40,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
1,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
2,False,8,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
3,False,50,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
4,False,12,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
5,True,70,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
6,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
7,False,48,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
8,False,8,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
9,False,52,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
10,False,30,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
11,False,8,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
12,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
13,False,42,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
14,False,33,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
15,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
16,False,31,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
17,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
18,True,68,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
19,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
20,False,8,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
21,False,8,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
22,False,50,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
23,True,66,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
24,True,78,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
25,False,62,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
26,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
27,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
28,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
29,False,37,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
30,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
31,False,8,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
32,False,10,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
33,False,44,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
34,False,10,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",J_18_16_50_59
