,goal_reached,path_length,times_disturbed,is_alternative,safety_value,allowance,safety_list,graph_reference
0,True,90,14,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
1,False,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
2,False,17,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
3,False,17,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
4,False,8,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
5,False,15,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
6,True,92,15,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
7,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
8,True,90,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
9,True,90,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
10,False,8,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
11,True,90,11,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
12,True,90,8,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
13,False,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
14,True,90,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
15,False,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
16,False,22,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
17,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
18,True,90,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
19,False,20,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
20,False,20,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
21,False,8,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
22,False,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
23,False,25,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
24,True,90,13,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
25,True,90,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
26,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
27,True,90,11,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
28,False,8,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
29,True,90,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
30,True,90,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
31,False,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
32,True,90,14,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
33,True,90,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
34,False,20,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
35,True,92,15,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
36,True,92,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
37,True,90,8,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
38,False,8,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
39,False,20,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
40,False,8,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
41,False,12,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
42,True,92,13,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
43,True,90,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
44,True,90,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
45,False,17,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
46,False,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
47,False,8,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
48,True,90,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
49,False,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
50,True,90,11,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
51,True,90,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
52,True,90,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
53,True,90,11,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
54,True,90,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
55,True,90,13,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
56,False,10,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
57,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
58,True,94,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
59,False,20,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
60,True,90,8,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_7_22_33
