,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,False,16,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
1,False,40,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
2,False,94,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
3,False,24,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
4,True,88,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
5,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
6,False,83,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
7,False,87,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
8,False,78,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
9,False,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
10,True,82,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
11,False,34,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
12,True,84,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
13,False,26,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
14,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
15,True,86,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
16,False,82,11,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
17,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
18,False,9,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
19,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
20,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
21,True,80,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
22,False,16,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
23,False,76,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
24,False,76,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
25,True,96,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
26,False,98,11,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
27,False,36,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
28,True,88,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
29,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
30,False,109,20,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
31,False,9,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
32,False,64,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
33,True,104,13,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
34,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
35,False,85,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
36,False,85,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
37,True,88,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
38,False,78,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
39,False,32,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
40,False,40,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
41,False,88,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
42,False,74,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
43,False,35,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
44,False,70,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
45,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
46,False,22,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
47,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
48,False,18,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
49,False,66,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
50,False,16,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
51,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
52,False,24,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
53,True,88,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
54,False,96,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
55,False,30,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
56,False,42,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
57,False,11,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
58,True,82,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
59,False,32,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
60,False,55,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
61,False,11,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
62,False,59,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
63,False,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
64,False,92,16,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
65,False,16,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
66,True,84,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
67,False,20,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",M_18_16_47_11
