,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,False,64,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
1,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
2,False,22,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
3,False,48,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
4,False,22,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
5,False,62,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
6,True,82,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
7,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
8,False,46,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
9,False,50,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
10,True,78,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
11,False,66,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
12,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
13,False,63,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
14,False,46,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
15,True,72,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
16,False,52,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
17,False,24,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
18,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
19,False,48,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
20,False,63,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
21,True,76,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
22,False,39,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
23,False,30,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
24,False,37,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
25,True,82,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
26,False,20,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
27,False,42,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
28,False,20,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
29,False,44,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
30,False,14,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
31,False,28,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
32,False,68,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
33,False,58,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
34,False,20,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
35,True,76,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
36,False,64,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
37,False,24,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
38,False,72,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
39,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
40,False,24,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
41,False,50,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
42,False,22,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
43,False,70,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
44,False,46,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
45,False,26,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
46,False,40,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
47,False,46,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
48,False,40,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
49,False,60,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
50,False,24,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
51,True,74,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
52,True,74,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
53,False,48,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
54,False,16,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
55,False,22,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
56,False,59,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
57,False,39,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
58,True,78,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
59,True,84,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
60,True,82,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
61,False,24,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
62,False,78,13,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
63,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
64,True,94,17,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
65,False,46,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
66,False,26,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
67,False,24,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
68,False,50,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
69,False,58,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
70,False,28,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
71,True,76,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
72,False,46,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
73,True,76,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
74,True,80,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
75,False,44,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
76,False,46,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
77,False,24,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
78,False,38,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
79,False,24,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
80,False,24,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
81,False,20,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
82,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
83,False,66,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
84,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
85,False,6,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
86,True,86,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
87,False,30,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
88,False,35,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
89,False,30,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
90,False,42,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
91,False,61,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
92,False,28,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
93,True,72,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
94,False,40,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
95,False,28,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
96,False,20,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
97,False,68,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
98,False,20,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
99,False,26,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
100,True,80,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
101,False,37,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
102,False,6,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
103,False,22,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
104,False,58,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
105,False,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
106,False,28,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
107,False,62,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
108,False,14,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
109,False,42,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
110,False,48,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
111,False,64,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
112,False,14,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
113,False,32,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
114,False,44,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
115,False,28,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
116,False,60,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
117,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
118,False,26,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
119,True,78,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
120,False,14,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
121,False,22,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
122,False,44,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
123,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
124,False,24,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
125,False,14,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
126,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
127,True,82,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
128,False,53,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
129,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
130,False,30,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
131,False,22,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
132,False,37,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
133,False,26,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
134,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
135,False,59,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
136,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
137,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
138,False,44,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
139,False,56,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
140,True,82,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
141,False,44,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
142,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
143,False,67,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
144,False,61,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
145,False,26,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
146,False,20,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
147,False,44,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
148,False,42,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
149,True,76,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
150,False,48,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
151,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
152,False,44,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
153,False,60,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
154,False,6,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
155,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
156,False,14,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
157,False,22,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
158,True,84,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
159,False,62,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
160,False,46,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
161,False,30,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
162,True,78,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
163,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
164,False,61,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
165,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
166,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
167,True,72,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
168,False,37,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
169,False,32,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
170,True,74,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
171,False,44,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
172,False,70,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
173,True,76,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
174,False,37,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
175,True,74,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
176,False,52,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
177,False,64,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
178,False,14,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
179,False,32,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
180,True,74,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
181,False,42,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
182,False,26,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
183,False,37,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
184,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
185,False,64,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
186,False,40,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
187,False,20,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
188,False,68,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
189,False,70,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
190,False,20,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
191,False,26,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
192,False,28,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
193,False,48,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
194,False,20,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
195,False,14,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
196,False,61,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
197,False,26,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
198,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
199,False,66,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
200,False,28,4,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
201,False,20,1,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
202,True,74,6,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
203,False,35,7,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
204,False,28,4,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
205,False,65,10,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
206,True,80,7,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
207,False,26,3,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
208,False,50,6,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
209,False,57,4,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
210,False,63,7,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
211,False,44,4,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
212,False,20,2,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
213,True,74,5,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
214,False,39,7,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
215,False,24,3,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
216,False,26,2,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
217,False,46,5,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
218,True,90,12,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
219,False,22,2,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
220,False,20,3,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
221,False,26,3,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
222,False,68,8,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
223,False,26,3,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
224,False,74,10,False,,1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_19_33_25_389471
