,goal_reached,path_length,times_disturbed,is_alternative,safety_value,allowance,safety_list,graph_reference
0,False,53,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
1,False,37,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
2,True,72,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
3,True,70,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
4,False,53,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
5,False,14,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
6,False,14,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
7,False,41,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
8,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
9,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
10,True,64,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
11,False,23,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
12,False,23,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
13,False,37,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
14,False,21,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
15,False,14,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
16,False,21,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
17,False,16,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
18,True,70,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
19,False,29,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
20,False,19,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
21,True,72,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
22,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
23,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
24,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
25,False,18,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
26,False,16,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
27,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
28,False,16,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
29,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
30,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
31,False,18,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
32,False,32,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
33,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
34,True,72,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
35,False,30,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
36,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
37,False,23,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
38,False,25,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
39,False,19,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",M_18_4_25_2
