,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
1,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
2,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
3,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
4,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
5,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
6,True,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
7,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
8,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
9,True,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
10,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
11,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
12,True,17,4,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
13,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
14,True,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
15,True,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
16,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
17,True,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
18,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
19,True,17,4,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
20,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
21,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
22,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
23,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
24,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
25,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
26,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
27,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
28,True,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
29,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
30,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
31,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
32,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
33,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
34,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
35,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
36,True,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
37,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
38,True,13,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
39,True,13,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
40,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
41,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
42,True,13,0,False,,1,2,"[1, 2, 3, 4, 5, 6]",S_18_19_41_51_436615
