,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,False,68,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
1,True,94,15,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
2,False,3,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
3,True,94,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
4,False,90,12,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
5,True,94,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
6,True,94,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
7,True,94,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
8,True,94,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
9,True,96,14,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
10,False,66,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
11,False,93,13,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
12,True,94,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
13,True,94,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
14,True,94,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
15,True,98,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
16,False,95,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
17,True,94,12,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
18,True,102,17,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
19,False,66,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
20,False,66,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
21,False,8,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
22,False,70,13,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
23,True,94,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
24,True,94,11,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
25,True,94,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
26,True,94,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
27,False,91,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
28,False,91,14,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
29,False,90,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
30,True,94,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
31,False,91,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
32,False,49,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
33,False,66,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
34,False,51,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
35,False,88,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
36,False,91,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_18_21_53
