,goal_reached,path_length,times_disturbed,is_alternative,safety_value,allowance,safety_list,graph_reference
0,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
1,True,61,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
2,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
3,False,46,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
4,False,34,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
5,True,57,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
6,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
7,False,18,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
8,False,43,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
9,False,35,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
10,False,14,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
11,True,53,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
12,True,71,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
13,True,67,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
14,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
15,False,51,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
16,True,61,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
17,False,28,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
18,False,50,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
19,True,61,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
20,True,59,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
21,False,34,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
22,False,12,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
23,False,52,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
24,False,24,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
25,True,61,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
26,True,55,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
27,True,59,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
28,True,87,20,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
29,False,44,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
30,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
31,False,10,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
32,False,12,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
33,False,48,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7, 8]",V_18_4_16_50
