,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
1,True,37,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
2,True,39,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
3,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
4,True,41,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
5,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
6,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
7,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
8,True,37,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
9,True,39,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
10,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
11,True,37,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
12,True,39,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
13,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
14,True,43,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
15,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
16,True,39,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
17,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
18,True,39,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
19,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
20,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
21,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
22,True,39,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
23,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
24,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
25,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
26,True,37,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
27,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
28,True,37,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
29,True,37,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
30,True,41,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
31,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
32,False,37,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
33,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
34,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
35,True,41,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
36,True,39,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
37,True,39,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
38,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
39,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
40,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
41,False,37,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
42,True,37,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
43,True,39,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
44,True,37,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
45,True,37,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
46,True,37,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
47,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
48,True,39,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
49,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
50,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
51,True,37,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
52,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
53,True,39,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
54,True,37,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
55,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
56,True,41,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
57,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
58,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
59,True,37,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
60,True,37,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
61,True,41,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
62,True,39,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
63,True,39,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
64,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
65,True,37,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
66,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
67,True,37,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
68,True,43,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
69,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
70,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
71,True,37,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
72,True,37,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
73,True,37,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_19_13_17_24_86167
